shot,shot_position,Cycle time,Clamping force,Peak value plasticizing screw,Transfer volume,Maximum injection pressure,Transfer injection pressure,Injection time,Cushion mass,Dosing time,Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Nozzle temperature,Mold protection time,Material,Product_Goodness
31,1,20.18800,800.12207,0.41200,28.23100,2006.98352,1648.23279,0.32600,22.66023,3.05000,200.10001,210.10001,220.10001,230.00000,239.80000,42.50000,0.67000,1,1
32,1,20.18800,800.12207,0.35400,28.24119,2024.46936,1646.28992,0.32400,22.65004,3.05000,200.00000,210.10001,220.10001,230.00000,239.80000,42.70000,0.67000,1,1
33,1,20.18800,800.12207,0.40000,28.22590,2030.58936,1645.60986,0.32600,22.64494,3.05600,200.10001,210.00000,220.10001,230.00000,239.80000,42.90000,0.67000,1,1
34,1,20.19000,799.93762,0.35400,28.20552,2044.18945,1641.43274,0.32600,22.65004,3.05800,200.10001,210.10001,220.10001,230.00000,239.80000,43.00000,0.67000,1,1
35,1,20.19000,800.30652,0.42400,28.20042,2034.37793,1646.67847,0.32800,22.64494,3.04800,200.10001,210.00000,220.10001,230.00000,239.80000,43.00000,0.66800,1,1
36,1,20.18800,800.12207,0.35400,28.23610,2005.33203,1649.98132,0.32600,22.64494,3.05200,200.10001,210.00000,220.10001,230.00000,239.80000,43.20000,0.67000,1,1
37,1,20.18800,800.12207,0.40000,28.22590,2005.52637,1655.61572,0.32400,22.65514,3.04800,200.10001,210.10001,220.10001,229.80000,239.80000,43.20000,0.66800,1,1
38,1,20.18800,800.12207,0.34600,28.23100,2025.82935,1642.50134,0.32400,22.62456,3.06000,200.00000,210.00000,220.00000,230.00000,239.80000,43.20000,0.67000,1,1
39,1,20.19000,800.30652,0.47400,28.20042,2033.60083,1648.03845,0.32800,22.64494,3.06400,200.10001,209.80000,220.00000,230.00000,239.80000,43.50000,0.67000,1,1
40,1,20.18800,800.12207,0.35600,28.21571,1984.83484,1648.81567,0.32600,22.64494,3.06000,200.00000,210.10001,220.10001,230.00000,239.80000,43.50000,0.67000,1,1
41,1,20.18800,800.12207,0.40200,28.25139,1976.57764,1646.96985,0.32800,22.64494,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,43.70000,0.66800,1,0
42,1,20.18800,800.12207,1.53000,28.21571,1982.69763,1652.99280,0.32400,22.62965,3.06800,200.10001,209.80000,220.00000,230.00000,239.80000,43.90000,0.67000,1,1
43,1,20.18800,799.93762,0.35400,28.20552,1984.93188,1652.21570,0.32600,22.65514,3.06800,200.00000,210.10001,220.10001,230.00000,239.80000,44.00000,0.67000,1,0
44,1,20.18800,800.12207,0.34800,28.24629,2016.40637,1649.20422,0.32600,22.64494,3.04600,200.00000,210.00000,220.00000,230.00000,239.80000,44.00000,0.67000,1,1
45,1,20.19000,800.12207,0.35000,28.24119,2039.13794,1646.28992,0.32600,22.63984,3.05600,200.10001,209.80000,220.00000,230.00000,239.80000,44.20000,0.67000,1,0
46,1,20.19000,800.49097,0.42000,28.20552,2048.26953,1642.01563,0.32600,22.65514,3.06400,200.10001,210.10001,220.10001,230.00000,239.80000,44.50000,0.66800,1,1
47,1,20.19000,799.93762,0.35600,28.21061,2032.43506,1646.28992,0.32800,22.63984,3.05000,200.10001,210.10001,220.00000,230.00000,239.80000,44.50000,0.66800,1,1
48,1,20.18800,800.30652,0.42000,28.20042,2005.91492,1648.32996,0.32400,22.66023,3.06800,200.10001,210.00000,220.00000,230.00000,239.80000,44.50000,0.67000,1,1
49,1,20.19000,800.12207,0.35800,28.22590,2037.48657,1645.22131,0.32800,22.63984,3.05800,200.00000,210.10001,220.10001,230.00000,239.80000,44.50000,0.67000,1,1
50,1,20.19000,800.30652,0.41600,28.20042,2033.01794,1644.73560,0.32800,22.66023,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,44.70000,0.67000,1,1
51,1,20.19000,800.12207,0.35800,28.21571,2024.27502,1649.20422,0.32800,22.62965,3.04600,200.10001,210.00000,220.00000,230.00000,239.80000,44.70000,0.67000,1,0
52,1,20.18800,800.12207,0.35800,28.24119,2014.65784,1649.39844,0.32600,22.65004,3.05600,199.80000,210.10001,220.10001,230.00000,239.80000,44.70000,0.66800,1,0
53,1,20.19000,800.12207,0.35600,28.20042,2038.06946,1649.10706,0.32800,22.66533,3.05800,199.80000,209.80000,220.00000,230.00000,239.80000,44.90000,0.66800,1,1
54,1,20.18800,800.12207,0.40400,28.20552,2011.16064,1648.81567,0.32400,22.68062,3.04400,200.00000,210.00000,220.10001,230.00000,239.80000,45.00000,0.67400,1,1
55,1,20.18800,800.12207,0.35600,28.22081,2030.88074,1643.47278,0.32800,22.65004,3.05200,199.80000,210.00000,220.00000,229.80000,239.80000,45.00000,0.66600,1,1
56,1,20.18800,800.12207,0.41800,28.21061,2027.86938,1654.06140,0.32600,22.64494,3.05000,199.80000,209.80000,219.80000,229.80000,239.80000,45.20000,0.66800,1,1
57,1,20.18800,799.93762,0.35600,28.23610,2033.01794,1646.96985,0.32600,22.65004,3.05400,199.80000,210.10001,220.10001,229.80000,239.80000,45.20000,0.67200,1,0
58,1,20.18800,799.93762,0.35200,28.21061,2028.74365,1651.24426,0.32600,22.65514,3.05000,199.80000,210.00000,220.00000,229.80000,239.80000,45.40000,0.66600,1,1
59,1,20.18800,800.12207,0.35800,28.20552,2019.02930,1647.06702,0.32600,22.65514,3.05400,200.00000,209.80000,219.80000,229.80000,239.80000,45.20000,0.66600,1,1
60,1,20.18800,799.93762,0.40400,28.22590,2040.49805,1645.41565,0.32400,22.64494,3.05400,199.80000,210.10001,220.10001,230.00000,239.80000,45.40000,0.66800,1,1
61,1,20.18800,800.12207,0.35400,28.23610,2028.25793,1647.74707,0.32600,22.68062,3.04600,199.80000,210.00000,220.00000,230.00000,239.80000,45.40000,0.66800,1,1
62,1,20.18800,800.12207,0.35600,28.24119,2027.38367,1643.86133,0.32600,22.65514,3.05000,199.80000,210.00000,220.00000,230.00000,240.00000,45.50000,0.66800,1,1
63,1,20.18800,800.12207,0.41800,28.21571,2037.58374,1649.00989,0.32600,22.64494,3.04000,199.80000,210.10001,220.00000,230.00000,240.00000,45.50000,0.67000,1,1
64,1,20.19000,800.12207,0.40200,28.20042,2036.22363,1645.31848,0.32600,22.67552,3.05400,199.80000,209.80000,220.00000,230.00000,239.80000,45.50000,0.67000,1,1
65,1,20.19000,800.12207,0.35600,28.20552,2035.05798,1645.80420,0.32600,22.65514,3.06000,199.80000,210.00000,220.00000,230.00000,239.80000,45.50000,0.66800,1,0
66,1,20.19000,800.12207,0.35600,28.25139,2040.59509,1647.45557,0.32600,22.67043,3.05200,199.80000,210.10001,220.00000,230.00000,239.80000,45.50000,0.67000,1,1
67,1,20.18800,799.93762,0.35000,28.22081,2002.61206,1648.32996,0.32600,22.65004,3.05000,199.80000,209.80000,220.00000,230.00000,239.80000,45.70000,0.66600,1,1
68,1,20.18800,799.93762,0.41000,28.23610,2038.74939,1644.92993,0.32400,22.64494,3.05000,199.80000,210.10001,220.10001,230.00000,239.80000,45.70000,0.67000,1,0
69,1,20.18800,800.12207,0.35800,28.19532,2029.22937,1648.32996,0.32800,22.65004,3.06400,199.80000,210.00000,220.00000,230.00000,239.80000,45.70000,0.66800,1,0
70,1,20.18800,800.12207,0.35600,28.21571,2025.53784,1648.52417,0.32400,22.65514,3.04800,199.80000,209.80000,219.80000,230.00000,239.80000,45.90000,0.66600,1,1
71,1,20.18800,800.12207,0.35600,28.22081,2033.01794,1644.44421,0.32400,22.66533,3.05800,199.80000,210.10001,220.00000,230.00000,239.80000,45.90000,0.67600,1,1
72,1,20.18800,799.93762,0.35800,28.20042,2025.53784,1646.58130,0.32600,22.68062,3.06600,199.80000,210.00000,220.00000,229.80000,239.80000,46.00000,0.66600,1,0
73,1,20.18800,799.93762,0.35800,28.22590,2019.61218,1644.63843,0.32800,22.67043,3.06800,199.80000,209.80000,219.80000,230.00000,239.80000,46.00000,0.66800,1,1
74,1,20.18800,800.12207,0.35200,28.20552,2011.35498,1643.37561,0.32400,22.66023,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,46.00000,0.66800,1,0
75,1,20.18800,799.93762,0.35400,28.24119,2000.08630,1643.37561,0.32400,22.65004,3.06000,200.00000,210.10001,220.00000,230.00000,239.80000,46.20000,0.66800,1,1
76,1,20.18800,799.93762,0.35000,28.21571,2018.93213,1649.10706,0.32800,22.66023,3.06800,200.10001,209.80000,219.80000,230.00000,239.80000,46.20000,0.67000,1,1
77,1,20.18800,799.93762,0.35600,28.24119,2027.28650,1646.87280,0.32400,22.68062,3.06600,200.10001,210.00000,220.00000,230.00000,239.80000,46.20000,0.67000,1,1
78,1,20.18800,800.12207,0.35200,28.22590,2024.85791,1649.39844,0.32400,22.68572,3.04800,200.10001,210.10001,220.00000,230.00000,240.00000,46.20000,0.67000,1,0
79,1,20.18800,799.93762,0.35600,28.20042,2028.25793,1648.13562,0.32800,22.69081,3.06800,200.10001,209.80000,220.00000,230.00000,240.00000,46.20000,0.66600,1,1
80,1,20.18800,799.93762,0.35800,28.22590,2033.50366,1644.73560,0.32400,22.67043,3.06200,200.10001,210.00000,220.00000,230.00000,239.80000,46.40000,0.67000,1,0
81,1,20.18800,799.93762,0.41800,28.22590,2031.94934,1647.16418,0.32600,22.67043,3.06400,200.10001,210.10001,220.10001,230.00000,239.80000,46.20000,0.67000,1,0
82,1,20.18800,800.12207,0.35400,28.21061,2005.23486,1642.30701,0.32400,22.66533,3.06000,200.10001,210.00000,220.00000,230.00000,239.80000,46.40000,0.66600,1,1
83,1,20.18800,799.93762,0.42000,28.24629,2035.34937,1650.17566,0.32600,22.68062,3.05200,200.30000,210.00000,220.10001,230.00000,239.80000,46.40000,0.66800,1,1
84,1,20.18800,799.93762,0.47200,28.23610,2023.10925,1644.92993,0.32400,22.63984,3.06600,200.10001,210.10001,220.10001,230.00000,239.80000,46.40000,0.66800,1,1
85,1,20.18800,800.12207,0.41200,28.24119,2026.41223,1645.02698,0.32600,22.66533,3.06000,200.10001,210.00000,220.10001,230.00000,239.80000,46.20000,0.66800,1,0
86,1,20.18800,800.12207,0.40200,28.24629,2023.78931,1646.67847,0.32400,22.66533,3.05600,200.30000,210.00000,220.00000,230.00000,239.80000,46.20000,0.66800,1,0
87,1,20.18800,800.12207,0.35600,28.20042,2002.32056,1652.89563,0.32600,22.65514,3.06200,200.10001,210.10001,220.10001,230.00000,239.80000,45.50000,0.67000,1,1
88,1,20.19000,800.12207,0.35600,28.24629,2025.92651,1647.06702,0.32600,22.67043,3.05400,200.10001,210.00000,220.10001,230.00000,239.80000,44.50000,0.66800,1,1
89,1,20.18800,799.93762,0.42000,28.24119,1995.90918,1654.54712,0.32600,22.67043,3.06000,200.30000,210.00000,220.10001,230.00000,239.80000,43.70000,0.66800,1,1
90,1,20.18800,799.75317,0.35000,28.20552,1979.97766,1646.38708,0.32800,22.65004,3.05200,200.10001,210.10001,220.00000,230.00000,239.80000,43.20000,0.67000,1,1
91,1,20.18800,800.12207,1.53800,28.21571,1979.58899,1660.18140,0.32600,22.68062,3.05000,200.10001,210.00000,220.00000,230.00000,239.80000,43.00000,0.66600,1,1
92,1,20.18800,799.75317,0.35200,28.21061,1946.17175,1654.64429,0.32600,22.66023,3.05800,200.10001,210.10001,220.10001,230.00000,240.00000,43.00000,0.66600,1,1
93,1,20.18800,799.93762,0.35600,28.21571,1972.40039,1656.29565,0.32600,22.65514,3.04800,200.10001,210.10001,220.10001,230.00000,240.00000,43.00000,0.66600,1,1
94,1,20.18800,799.75317,0.35400,28.20552,1966.57178,1656.39282,0.32400,22.65004,3.04000,200.10001,210.00000,220.10001,230.00000,239.80000,42.90000,0.66600,1,1
95,1,20.18800,799.75317,0.41400,28.21571,1986.38904,1650.85559,0.32400,22.65514,3.05000,200.00000,210.10001,220.10001,230.00000,239.80000,43.00000,0.66800,1,1
96,1,20.18800,799.75317,0.35200,28.24629,1964.72607,1657.46143,0.32400,22.68572,3.04000,200.00000,210.00000,220.10001,230.00000,239.80000,43.20000,0.67000,1,0
97,1,20.18800,799.93762,0.35600,28.21571,1952.77747,1653.96423,0.32600,22.68572,3.05400,200.10001,210.10001,220.10001,230.00000,239.80000,43.40000,0.67000,1,1
98,1,20.18800,799.56873,0.35800,28.24629,2037.09802,1647.45557,0.32400,22.65514,3.04600,200.10001,210.10001,220.10001,230.00000,239.80000,43.50000,0.66800,1,0
99,1,20.19000,799.93762,0.40400,28.22081,2034.47510,1653.38135,0.32800,22.66023,3.05400,200.00000,209.80000,220.10001,230.00000,239.80000,43.70000,0.67200,1,1
100,1,20.18800,799.75317,0.35800,28.25139,2024.17786,1649.00989,0.32800,22.66533,3.05600,200.00000,210.10001,220.10001,230.00000,239.80000,43.70000,0.67000,1,1
101,1,20.18800,799.56873,0.34400,28.23100,2020.48645,1650.56421,0.32600,22.66023,3.05200,200.00000,210.10001,220.10001,230.00000,239.80000,44.00000,0.67200,1,1
102,1,20.18800,799.75317,0.35000,28.25139,1978.52051,1653.18713,0.32600,22.66023,3.05400,200.00000,210.00000,220.10001,230.00000,240.00000,44.00000,0.67200,1,1
103,1,20.18800,800.12207,0.35400,28.21061,1981.24048,1657.16992,0.32600,22.66023,3.05200,200.00000,210.10001,220.10001,230.00000,240.00000,44.20000,0.67000,1,1
104,1,20.18800,799.75317,0.35200,28.25139,1959.96606,1651.14709,0.32400,22.63984,3.06200,200.00000,210.10001,220.00000,230.00000,239.80000,44.20000,0.67200,1,1
105,1,20.18800,799.93762,0.41800,28.21061,2036.22363,1643.66699,0.32600,22.63475,3.05400,200.00000,210.00000,220.00000,230.00000,239.80000,44.40000,0.67200,1,0
106,1,20.18800,799.75317,0.47400,28.24119,2038.45801,1643.86133,0.32600,22.65514,3.05600,200.00000,210.10001,220.10001,230.00000,239.80000,44.50000,0.67000,1,0
107,1,20.18800,799.56873,0.35800,28.21571,2026.70361,1649.98132,0.32600,22.65004,3.05000,200.00000,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,1,1
108,1,20.18800,799.75317,0.35400,28.21061,2019.02930,1645.12415,0.32400,22.67552,3.05400,200.00000,210.00000,220.10001,230.00000,239.80000,44.50000,0.67000,1,1
109,1,20.18800,799.75317,0.40800,28.21571,2016.89209,1649.20422,0.32400,22.63984,3.05800,200.00000,210.10001,220.10001,230.00000,239.80000,44.90000,0.66600,1,1
110,1,20.18800,799.38428,0.35400,28.21571,2021.36072,1647.84424,0.32400,22.67043,3.06000,200.00000,210.00000,220.10001,230.00000,239.80000,44.90000,0.67000,1,1
111,1,20.18800,799.75317,0.35200,28.23610,2032.62939,1647.64990,0.32400,22.66533,3.05200,200.10001,210.00000,220.10001,230.00000,239.80000,45.00000,0.66800,1,1
112,1,20.18800,799.56873,0.35600,28.25139,1998.14343,1644.44421,0.32800,22.63984,3.05800,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.66800,1,1
113,1,20.18800,799.75317,0.41200,28.20552,2021.16638,1650.27283,0.32400,22.66533,3.05600,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.67000,1,0
114,1,20.18800,799.75317,0.35600,28.22806,2029.08362,1647.01849,0.32500,22.65514,3.06600,200.10001,210.10001,220.10001,230.00000,239.80000,45.20000,0.67000,1,1
115,1,20.19000,799.75317,0.35400,28.19532,2037.00085,1643.76416,0.32600,22.64494,3.07600,200.10001,210.00000,220.10001,230.00000,239.80000,45.40000,0.66400,1,1
116,1,20.18800,799.56873,0.40400,28.19532,2016.60071,1647.94128,0.32400,22.66533,3.05400,200.10001,210.10001,220.10001,230.00000,239.80000,45.50000,0.66600,1,1
117,1,20.18800,799.56873,0.40600,28.23610,2027.67505,1644.05554,0.32400,22.65004,3.04400,200.10001,210.00000,220.10001,230.00000,239.80000,45.70000,0.66800,1,1
118,1,20.18800,799.56873,0.35600,28.21061,2037.29224,1648.13562,0.32400,22.67552,3.06200,200.10001,210.00000,220.10001,230.00000,239.80000,45.70000,0.67200,1,1
119,1,20.18800,799.56873,0.35400,28.21571,2022.52649,1649.20422,0.32800,22.65004,3.04800,200.10001,210.10001,220.10001,230.00000,239.80000,45.70000,0.67200,1,1
120,1,20.19000,799.38428,0.42200,28.24119,2041.46948,1650.27283,0.32600,22.67043,3.04400,200.00000,209.80000,220.10001,230.00000,239.80000,45.90000,0.67000,1,0
121,1,20.18800,799.56873,0.40200,28.25139,2016.40637,1651.14709,0.32600,22.68572,3.05200,200.10001,210.10001,220.10001,229.80000,239.80000,46.00000,0.66800,1,1
122,1,20.18800,799.56873,0.40200,28.23610,2035.25220,1647.26135,0.32400,22.68572,3.03600,200.10001,210.00000,220.00000,230.00000,239.80000,46.00000,0.67000,1,1
123,1,20.18800,799.56873,0.40200,28.23100,2032.82361,1648.03845,0.32600,22.65004,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,46.00000,0.67000,1,1
124,1,20.18800,799.56873,0.35000,28.25139,2028.45215,1650.07849,0.32600,22.67552,3.04400,200.00000,210.10001,220.10001,230.00000,239.80000,46.20000,0.66800,1,1
125,1,20.18800,799.75317,1.48800,28.25139,2028.64648,1650.46704,0.32400,22.67043,3.04200,200.10001,209.80000,220.00000,230.00000,239.80000,46.40000,0.66800,1,0
126,1,20.18800,799.56873,0.40200,28.20042,2034.57227,1645.70703,0.32600,22.67552,3.05200,200.00000,210.10001,220.00000,230.00000,239.80000,46.50000,0.67000,1,1
127,1,20.18800,799.56873,0.35400,28.24119,2022.72070,1644.05554,0.32400,22.65514,3.05200,200.00000,209.80000,220.00000,230.00000,239.80000,46.50000,0.67000,1,1
128,1,20.18800,799.38428,0.34800,28.22590,2022.81787,1642.98706,0.32400,22.66023,3.03600,200.10001,209.80000,220.00000,230.00000,239.80000,46.50000,0.67200,1,1
129,1,20.18800,799.75317,0.41800,28.22590,2044.28662,1646.09558,0.32600,22.66533,3.04800,199.80000,210.10001,220.00000,230.00000,239.80000,46.50000,0.67000,1,1
130,1,20.18800,799.38428,0.35600,28.21061,2001.54346,1649.00989,0.32600,22.68572,3.05600,200.00000,210.00000,220.00000,230.00000,239.80000,46.70000,0.67000,1,1
131,1,20.18800,799.56873,0.41800,28.24629,2030.97791,1650.56421,0.32400,22.67552,3.05400,200.10001,210.10001,220.00000,230.00000,239.80000,46.90000,0.66800,1,1
132,1,20.18800,799.56873,0.35200,28.20552,2011.35498,1647.94128,0.32600,22.66533,3.04200,200.10001,210.10001,220.00000,230.00000,239.80000,47.00000,0.66800,1,0
133,1,20.19000,799.38428,0.40200,28.24629,2015.24072,1653.28418,0.32600,22.66023,3.05800,200.00000,210.00000,220.00000,230.00000,239.80000,47.20000,0.66600,1,1
134,1,20.18800,799.56873,0.40400,28.23100,2009.89783,1651.14709,0.32600,22.67552,3.06200,200.10001,210.10001,220.00000,230.00000,239.80000,47.20000,0.67200,1,1
135,1,20.18800,799.38428,0.35200,28.20042,2022.13782,1652.02136,0.32600,22.65004,3.04400,200.00000,210.10001,220.00000,230.00000,239.80000,47.20000,0.66800,1,1
136,1,20.19000,799.38428,0.41200,28.19532,2034.96082,1655.03284,0.32800,22.67043,3.06200,199.80000,210.00000,219.80000,230.00000,240.00000,47.20000,0.66800,1,1
137,1,20.18800,799.56873,0.41800,28.21061,2042.82947,1646.58130,0.32600,22.67552,3.06400,200.00000,210.00000,220.00000,230.00000,240.00000,47.20000,0.66600,1,1
138,1,20.18800,799.56873,0.47600,28.22590,2014.56067,1652.21570,0.32400,22.67552,3.05400,200.00000,210.10001,220.00000,230.00000,240.00000,47.00000,0.67000,1,1
139,1,20.18800,799.56873,0.35600,28.23610,2008.44067,1652.31274,0.32800,22.68062,3.05200,199.80000,209.80000,219.80000,230.00000,240.00000,47.00000,0.66800,1,0
140,1,20.18800,799.56873,0.35600,28.24629,1987.45764,1656.78137,0.32600,22.66023,3.05800,199.80000,210.00000,220.10001,230.00000,240.00000,46.70000,0.66600,1,0
141,1,20.18800,799.56873,0.35400,28.24119,2018.73792,1652.89563,0.32400,22.67043,3.04400,199.80000,210.00000,219.80000,230.00000,239.80000,46.20000,0.67200,1,0
142,1,20.18800,799.38428,0.35800,28.20552,2030.00647,1651.04993,0.32800,22.66023,3.04400,199.80000,209.80000,219.80000,230.00000,239.80000,45.90000,0.67200,1,1
143,1,20.18800,799.56873,0.40400,28.23100,2025.63501,1650.27283,0.32800,22.65004,3.05200,199.80000,210.10001,220.00000,230.00000,239.80000,45.50000,0.67000,1,0
144,1,20.18800,799.38428,0.35600,28.19532,2024.85791,1650.27283,0.32400,22.67043,3.04000,199.60001,209.80000,220.00000,230.00000,239.80000,45.00000,0.67000,1,1
145,1,20.18800,799.56873,0.40000,28.23100,2024.37219,1650.17566,0.32600,22.68062,3.04400,199.80000,210.10001,220.00000,230.00000,239.80000,44.50000,0.66600,1,1
146,1,20.18800,799.56873,0.41000,28.22081,2039.91516,1651.72998,0.32600,22.68062,3.03600,199.60001,210.00000,219.80000,230.00000,239.80000,44.00000,0.67000,1,1
147,1,20.18800,799.38428,0.40600,28.24629,2022.13782,1650.07849,0.32600,22.66533,3.05200,199.60001,209.80000,219.80000,230.00000,239.80000,43.70000,0.66800,1,1
148,1,20.18800,799.38428,0.35200,28.24629,2024.37219,1649.10706,0.32600,22.66533,3.05400,199.60001,210.00000,220.10001,230.00000,239.80000,43.40000,0.66600,1,1
149,1,20.19000,799.38428,0.35400,28.22081,2022.33215,1648.91272,0.32800,22.66023,3.04600,199.60001,209.80000,220.00000,230.00000,239.80000,43.00000,0.66800,1,1
150,1,20.18800,799.56873,0.47600,28.22590,2019.90356,1650.85559,0.32400,22.66533,3.05200,199.60001,209.80000,220.00000,230.00000,239.80000,42.70000,0.66800,1,1
151,1,20.18800,799.38428,0.35800,28.25139,2036.32080,1649.30139,0.32600,22.68572,3.03600,199.60001,210.00000,219.80000,230.00000,239.80000,42.70000,0.66600,1,1
